,Job Title,Job Salary,Key Skills,Role Category,Location,Functional Area,Industry,Role
354, Web Developer Qualification Computer Science Graduate Experience 0-4, Not Disclosed by Recruiter ,"[' Javascript', ' HTML', ' jQuery', ' Graphics', ' Multimedia', ' CSS3', ' Computer science', ' User interface designing', ' Object oriented design', ' Content development']",['Programming & Design'],['Kolkata'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Software Developer
355, Call Center(cce) /Bpo JOB/ !! Fresher {10/12th} pass Apply NO," 1,75,000 - 3,75,000 PA. ","[' bpo', ' voice', ' domestic bpo', ' international bpo', ' cce', ' inbound', ' back office', ' lpo', ' call center', ' kpo', ' tele caller', ' fresher', ' bpo fresher', ' calling', ' telesales', ' non voice', ' data entry']",['Other'],"['Delhi ncr', 'Faridabad', 'Noida']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Fresher
356, Executive Assistant, Not Disclosed by Recruiter ,"[' Rackspace', ' Office 365', ' Executive Assistant']","['Corporate Planning', 'Consulting', 'Strategy']","['Gurgaon', 'Delhi ncr']","['Strategy ', ' Management Consulting ', ' Corporate Planning']","['Recruitment', ' Staffing']",EA to Chairman/President/VP
357, r Sales of General Insurance, Not Disclosed by Recruiter ,"[' mapping', ' operations', ' cv', ' seminars', ' handling', ' accounts', ' general insurance', ' co', ' team building', ' life insurance']",['General Insurance'],['Bengaluru'],"['Financial Services ', ' Banking ', ' Investments ', ' Insurance']",['Insurance'],Sales/Business Development-Manager
358,Job Description," INR 1,50,000 PA. Mediclaim+petrol Allowance+incentive","['Hiring', 'Training', 'Customer Relationship', 'Communication Skills']",['Retail Sales'],['Pune'],"['Sales ', ' Retail ', ' Business Development']",['Banking / Financial Services / Broking'],Sales Executive/Officer
359, Business Development Executive - Mumbai, Not Disclosed by Recruiter ,"[' Business Development Management', ' Growth Strategy', ' Business Research', ' Customer Satisfaction']",['Institutional Sales'],['Mumbai'],"['Sales ', ' Retail ', ' Business Development']","['IT-Software', ' Software Services']",Sales/Business Development Manager
360, DOT Net Developer, Not Disclosed by Recruiter ,"[' mca', ' debugging', ' ckend', ' documents', ' dedicated', ' ms sql server', ' microsoft sql server', ' asp net']",['Programming & Design'],['Chandigarh'],"['IT Software - Application Programming ', ' Maintenance']","['Recruitment', ' Staffing']",Software Developer
361, House Keeping Supervisor (Rotational Shift), Not Disclosed by Recruiter ,"[' Housekeeping', ' Front Office', ' laundry', ' Guest Relations', ' Facilities']",['Housekeeping'],['Mumbai'],"['Hotels ', ' Restaurants']","['Medical', ' Healthcare', ' Hospitals']",Housekeeping Executive/Assistant.
362, International Inbound Tech Sales, Not Disclosed by Recruiter ,"[' tech support', ' BPO', ' voice', ' Help Desk', ' Customer Service', ' data analysis', ' customer relationship', ' cce', ' inbound', ' customer service', ' caller', ' technical support', ' voice process', ' access controls', ' outbound', ' uk', ' calling', ' non voice', ' us']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
363, Online Advertising Work Athome Part/full time Adposting | Form Filling," 2,00,000 - 5,00,000 PA. ","[' computer operating', ' computer operator', ' back office', ' customer care', ' back office executive', ' customer support', ' deo', ' calling', ' typing', ' data entry operator', ' data entry', ' customer care executive']",['Other'],"['Jaipur', 'Lucknow', 'Navi mumbai']","['Executive Assistant ', ' Front Office ', ' Data Entry']","['IT-Software', ' Software Services']",Fresher
364, Sales Executive l Sales Consultant, Not Disclosed by Recruiter ,"[' market research', ' customer profiling', ' sales executive', ' marketing executive', ' distributors', ' Business Development', ' sales strategy']",['Retail Sales'],['Delhi'],"['Sales ', ' Retail ', ' Business Development']","['BPO', ' Call Centre', ' ITeS']",Sales Executive/Officer
365, US Process BPO International Executive, Not Disclosed by Recruiter ,"[' US Process', ' BPO', ' BPO Executive', ' Bpo Operations', ' Domestic BPO', ' Bpo Sales', ' Bpo Operations Management', ' International BPO']",['Voice'],"['Gurgaon', 'Noida', 'Delhi']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['Recruitment', ' Staffing']",Associate/Senior Associate -(NonTechnical)
366, BPO Call Center & CCE Jobs - Urgent Need," 1,50,000 - 3,50,000 PA. ","[' BPO', ' Cce', ' Call Center', ' Salary', ' Calling', ' Communication Skills', ' Domestic BPO', ' International BPO', ' call centre', ' voice', ' inbound', ' customer care', ' fresher', ' undergraduate', ' international call center', ' bpo fresher', ' Data Entry', ' Back Office']",['Other'],"['Delhi ncr (197) ', 'Gurgaon', 'Noida', '...more']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Fresher
367, Business Development Executive," 1,25,000 - 2,50,000 PA. ","[' Inside Sales', ' Business Development', ' Sales Executive Activities', ' Closure', ' Presentation Skills']",['Institutional Sales'],['Bengaluru'],"['Sales ', ' Retail ', ' Business Development']","['Education', ' Teaching', ' Training']",Sales Executive/Officer
368, Customer Care Executive for Email & Chat and Voice Back Office Process," 2,00,000 - 3,25,000 PA. ","[' customer care executive', ' back office executive', ' cce', ' voice process', ' non voice process', ' outbound process', ' international bpo', ' inbound voice process', ' chat process', ' back office support', ' domestic bpo', ' domestic calling']",['Voice'],"['Chandigarh', 'Mohali', 'Panchkula']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
369, Sales Executive, Not Disclosed by Recruiter ,"[' prospecting', ' outbound', ' selling skills', ' sales executive']",['Retail Sales'],"['Jaipur', 'Indore', 'Chandigarh']","['Sales ', ' Retail ', ' Business Development']","['Banking', ' Financial Services', ' Broking']",Sales Executive/Officer
370, BPO - Fresher - Non Voice Process - Backend - Chat - Call Drishti," 2,25,000 - 4,00,000 PA. ","[' BCom', ' BBA', ' Btech', ' CCE', ' Voice Process', ' Non Voice', ' KPO', ' Inbound', ' MBA', ' MCom', ' Communication Skills', ' Customer Support', ' Backend', ' BSC', ' MA', ' HGS', ' Fresher', ' MSC', ' BA']","['Back Office', 'Web', 'Transaction Processing']",['Gurgaon'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
371," Customer Care Executive,"," 50,000 - 1,50,000 PA. ","[' Customer Care', ' b.com', ' Accounting']",['Other'],"['Delhi ncr', 'Gurgaon', 'Delhi']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Fresher
372, Executive, Not Disclosed by Recruiter ,"[' Loop', ' Graphic designing', ' Web technologies', ' Illustrator', ' Tool design', ' Customer service', ' Management', ' Photoshop', ' Visual Design']",['Programming & Design'],['Delhi'],"['IT Software - Application Programming ', ' Maintenance']","['BPO', ' Call Centre', ' ITeS']",Graphic/Web Designer
373, CCE For International Website Selling Process, Not Disclosed by Recruiter ,"[' Voice process', ' bpo', ' process', ' Website sales', ' Outbound process', ' cce', ' web sales', ' sales executive', ' customer care executive']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
374, Delegate Sales Executive, Not Disclosed by Recruiter ,"[' Analytical', ' Focus', ' Sales Executive', ' Business Executive']",['Corporate Sales'],['Mumbai'],"['Sales ', ' Retail ', ' Business Development']","['IT-Software', ' Software Services']",Sales Executive/Officer
375, Recruitment Executive," 1,25,000 - 2,50,000 PA. ","[' talent acquisition', ' hr recruiter', ' hiring', ' non it recruiter', ' recruitment', ' recruitment executive', ' it recruiter']","['HR', ' Recruitment ', ' IR']",['Hyderabad'],"['HR ', ' Recruitment ', ' Administration ', ' IR']","['Recruitment', ' Staffing']",Recruitment Executive
376, Tele Sales Executive," 1,50,000 - 4,00,000 PA. ","[' Tele Sales Executive', ' tele caller', ' tele sales', ' tele calling', ' Outbound Sales', ' outbound calling']",['Sales Support'],['Delhi ncr'],"['Sales ', ' Retail ', ' Business Development']","['BPO', ' Call Centre', ' ITeS']",Telesales/Telemarketing Executive/Officer
377, BPO / Voice Process / Day Shift / Fresher / Ahmedabad," 1,25,000 - 1,75,000 PA. ","[' International BPO', ' International Call Center', ' voice process', ' Non Voice Process', ' Domestic BPO', ' call center executive', ' customer care executive', ' telecaller']",['Voice'],['Ahmedabad'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
378, Dot Net Developers, Not Disclosed by Recruiter ,"[' jQuery', ' Javascript', ' WCF', ' server', ' software', ' Business Executive', ' sql', ' Computer science', ' Sql Server 2008', ' java', ' Coding', ' asp.net', ' oops', ' .Net', ' Client interaction', ' developer', ' MVC', ' net']",['Programming & Design'],['Delhi'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Software Developer
379,Mphasis is Hiring For Backoffice Process-contact- Suwartik-,Openings: 1,"['Soft Skills', 'Back Office']","['Back Office', 'Web', 'Transaction Processing']",['Bengaluru'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']",['IT-Software / Software Services'],Associate/Senior Associate -(NonTechnical)
380, Telecalling Executive - Bengali Process," 2,50,000 - 3,75,000 PA. ","[' bpo', ' tele calling', ' domestic bpo', ' customer service', ' customer care', ' call center', ' tele sales', ' teamleader', ' Bengali', ' team leader', ' team coach', ' tl', ' telecalling', ' quality analyst']",['Voice'],"['Mumbai', 'Thane']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
381, Opening For Android Developer Fresher @ CBD Belapur, Not Disclosed by Recruiter ,"[' Android Studio', ' Android SDK', ' GIT']",['Programming & Design'],['Navi mumbai'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Software Developer
382, Freshers For Back Office.," 2,00,000 - 3,50,000 PA. ","[' Back Office', ' Non Voice']",['Other'],['Bengaluru'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Fresher
383, Business Development Manager - B2B equity, Not Disclosed by Recruiter ,"[' Business reporting', ' Relationship', ' Equity', ' SUB', ' B2B', ' Sales']",['Retail Sales'],"['Raipur', 'Ahmedabad', 'Ropar']","['Sales ', ' Retail ', ' Business Development']","['Banking', ' Financial Services', ' Broking']",Sales/Business Development Manager
384, Urgent Walk IN Drive For Marketing Executives - Jhandewalan," 2,25,000 - 3,00,000 PA. ","[' marketing', ' digitization', ' customer service', ' problem solving', ' medical records', ' sales', ' healthcare']",['Retail Sales'],['Delhi'],"['Sales ', ' Retail ', ' Business Development']","['Banking', ' Financial Services', ' Broking']",Sales Executive/Officer
385, We are Hiring- US Recruiter @ Abacus, Not Disclosed by Recruiter ,"[' us it recruiter', ' us it recruitment', ' us it staffing', ' us recruitment', ' w2']","['HR', ' Recruitment ', ' IR']",['Hyderabad'],"['HR ', ' Recruitment ', ' Administration ', ' IR']","['Recruitment', ' Staffing']",Recruitment Executive
386, Quality Analyst/ Software Test Engineer," 2,50,000 - 5,00,000 PA. ","[' manual testing', ' test cases', ' test engineering', ' test scripts', ' selenium', ' sql database', ' quality analysis', ' web technologies', ' qa testing', ' testing fresher']",['Programming & Design'],"['Delhi ncr', 'Pune', 'Noida']","['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Testing Engineer
387, Virtual Customer Support(work from Home)," 1,75,000 - 2,75,000 PA. ","[' voice', ' bpo', ' customer service associate', ' call centre', ' customer service executive', ' international bpo', ' csr', ' inbound', ' customer service', ' customer care', ' csa', ' Customer Support', ' cse', ' Night Shift', ' cso']",['Voice'],"['Chandigarh', 'Jaipur']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
388," Production Chemist, Sikandrabad (u.p)"," 1,00,000 - 1,50,000 PA. ","[' production', ' paint', ' chemist']",['Other'],['Delhi ncr'],"['Production ', ' Manufacturing ', ' Maintenance']","['Chemicals', ' PetroChemical', ' Plastic', ' Rubber']",Fresher
389, Web Designer - Remote, Negotiable ,"[' Wordpress', ' Jquery', ' css', ' analytics', ' market research', ' Photoshop', ' Illustrator', ' Fireworks', ' HTML', ' Adobe Creative Suite', ' E - commerce', ' Responsive Web Design', ' Wordpress CMS']",['Programming & Design'],"['Delhi ncr', 'Bengaluru', 'Pune']","['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Software Developer
390, Counsellor, Not Disclosed by Recruiter ,"[' sec', ' vision', ' counsellor', ' d', ' complex', ' office', ' salary']",['Teachers'],['Chandigarh'],"['Teaching ', ' Education ', ' Training ', ' Counselling']","['Recruitment', ' Staffing']",Counselor
391, Walk-in for .NET and SQL Server Professionals," 1,00,000 - 2,00,000 PA. ","[' software development', ' software programming', ' sql server', ' asp.net', ' c#.net', ' Angularjs', ' .Net', ' Bootstrap', ' OOPS', ' ajax', ' javascript', ' jQuery', ' LINQ', ' WCF', ' WWF', ' Stored Procedures']",['Programming & Design'],['Hyderabad'],['IT Software - System Programming'],"['IT-Software', ' Software Services']",Software Developer
392, Electrical &amp; Mechanical Maintenance Fresher," 2,00,000 - 4,50,000 PA. ","[' electronics', ' Utility Maintenance', ' Plant Maintenance', ' Preventive Maintenance', ' Mechanical Maintenance', ' Electricals']","['Production', 'Manufacturing', 'Maintenance']","['Mumbai', 'Navi mumbai', 'Thane']","['Production ', ' Manufacturing ', ' Maintenance']","['Construction', ' Engineering', ' Cement', ' Metals']",Service/Maintenance Engineer
393, iOS Trainee, Not Disclosed by Recruiter ,"[' Monitoring', ' Analytical', ' French', ' Interpersonal skills', ' SAN', ' Territory Executive', ' C', ' Cook', ' ios trainee', ' PDF']","['Corporate Planning', 'Consulting', 'Strategy']",['Pune'],"['Strategy ', ' Management Consulting ', ' Corporate Planning']","['BPO', ' Call Centre', ' ITeS']",EA to Chairman/President/VP
394, Urgent Required Public Relation Executive Female," 2,00,000 - 7,00,000 PA. ",[' Mba Fresher'],['Advertising'],"['Mumbai', 'Delhi ncr']","['Marketing ', ' Advertising ', ' MR ', ' PR ', ' Media Planning']","['Advertising', ' PR', ' MR', ' Event Management']",Client Servicing/Key Account Manager
395, ABA Therapist," 1,50,000 - 1,75,000 PA. ","[' psychology', ' therapy', ' education', ' training', ' social work', ' communication skills']",['Teachers'],['Bengaluru (hsr layout) '],"['Teaching ', ' Education ', ' Training ', ' Counselling']","['Education', ' Teaching', ' Training']",Special Education Teacher
396, UK Call Blocker Voice Process / Fixed Off, Not Disclosed by Recruiter ,"[' Telecom', ' Service', ' Comp', ' Voice process', ' Target', ' Typing', ' Outbound process', ' Spot', ' International voice process', ' Presentable']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
397, Walk-in Interviews For Backend Profile," 1,75,000 - 3,75,000 PA. ","[' Backend', ' Non Voice Process']",['Voice'],['Delhi ncr'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(Technical)
398, Marketing & Sales Internships, Not Disclosed by Recruiter ,"[' Sales', ' market research', ' customer profiling', ' sales executive', ' marketing executive', ' distributors', ' Business Development', ' sales strategy']",['Retail Sales'],['Mumbai'],"['Sales ', ' Retail ', ' Business Development']","['Pharma', ' Biotech', ' Clinical Research']",Sales Executive/Officer
399, Travel Consultants," 3,00,000 - 6,00,000 PA. ","[' Travel', ' Reservation', ' booking', ' galileo', ' ticketing', ' amadeus', ' Itinerary']","['Ticketing', 'Travel', 'Documentation']",['Delhi ncr'],"['Travel ', ' Tours ', ' Ticketing ', ' Airlines']","['Travel ', ' Hotels ', ' Restaurants ', ' Airlines ', ' Railways']",Tour Mngmt Executive
400,Hospital Pharmacist- Fortis Hospital & Kidney Institute,Openings: 1,['Pharmacist'],['R&D'],['Kolkata'],"['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']",['Medical / Healthcare / Hospitals'],Pharmacist/Chemist/Bio Chemist
401, Java Developer, Not Disclosed by Recruiter ,"[' assembly language', ' C', ' JavaScript', ' .NET', ' HTML', ' Oracle', ' Python', ' SQL']",['Programming & Design'],['Pune'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Software Developer
402, Manager / Sr. Manager (sales/business Development Manager)," 3,00,000 - 8,00,000 PA. ","[' insurance', ' agent', ' area sales', ' distributors', ' mutual fund', ' channel sales', ' dealers', ' health', ' business development management', ' b2c sales', ' sales', ' strategic planning', ' healthcare', ' sales management', ' b2b', ' channel management', ' strategy', ' team building', ' distribution management']",['Retail Sales'],"['Delhi ncr', 'Delhi']","['Sales ', ' Retail ', ' Business Development']","['Medical', ' Healthcare', ' Hospitals']",Area Sales Manager
403, Business Development Intern, Not Disclosed by Recruiter ,"[' Market research', ' Business intelligence', ' Internship', ' MS Office', ' English', ' Copyright', ' business development intern', ' Sharing', ' Intern', ' Com']",['Senior Management'],"['Delhi', 'Pune', 'Mumbai']","['Sales ', ' Retail ', ' Business Development']","['Media', ' Entertainment', ' Internet']",Head/VP/GM/National Manager -Sales
404," Junior Consultant/ Associate Consultant - Radiology, Bangalore", Not Disclosed by Recruiter ,"[' medical', ' MRI', ' X - Ray', ' CT Scan', ' Radio Diagnosis', ' Ultrasonic Testing', ' mbbs', ' Radiology', ' dnb', ' Ultrasound']",['Medical Professional'],['Bengaluru'],"['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']","['Medical', ' Healthcare', ' Hospitals']",Medical Officer
405, Opening For MCA / B.tech Fresher @.net Intern_gurgaon_mnc, Not Disclosed by Recruiter ,"[' c#', ' .net', ' sql server']",['Programming & Design'],['Gurgaon'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Software Developer
406, Pharmacist / pharmacy, Not Disclosed by Recruiter ,"[' Retail', ' Pharmacy']",['Medical Professional'],['Hyderabad'],"['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']","['IT-Software', ' Software Services']",Pharmacist/Chemist/Bio Chemist
407, NEED SENIOR SALES EXECUTIVE FOR TECH SUPPORT PROCESS, Not Disclosed by Recruiter ,[' NEED SENIOR SALES EXECUTIVE FOR TECH SUPPORT PROCESS'],['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
408, Medical Coder Job For 2019 Passed Out-day Shift-ct Angel HR," 2,25,000 - 6,00,000 PA. ","[' biotechnology', ' biology', ' bpt', ' microbiology', ' botany', ' nursing', ' biomedical', ' medical coding', ' bsc', ' biochemistry', ' bioinformatics', ' medical coder', ' pharmacy', ' life sciences', ' msc', ' zoology']",['Medical Professional'],"['Chennai', 'Coimbatore', 'Trichy']","['Medical ', ' Healthcare ', ' R&D ', ' Pharmaceuticals ', ' Biotechnology']","['Medical', ' Healthcare', ' Hospitals']",Medical Officer
409, Trainee Consultant, Not Disclosed by Recruiter ,"[' IIS', ' XML', ' XSLT', ' data privacy', ' Oracle', ' VB', ' Customer engagement', ' Information technology', ' ASP', ' SQL']",['Other'],['Chandigarh'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Trainee
410, Recruitment Consultant - IT, Not Disclosed by Recruiter ,"[' search', ' it recruitment', ' relationship building', ' recruitment consultant', ' headhunting', ' client interaction', ' networking', ' handling', ' it']","['HR', ' Recruitment ', ' IR']","['Bengaluru', 'Bengaluru / bangalore']","['HR ', ' Recruitment ', ' Administration ', ' IR']","['Recruitment', ' Staffing']",Recruitment Executive
411, Sitel Hyderabad is Hiring For UK Voice Process, Not Disclosed by Recruiter ,"[' bpo', ' voice', ' telecaller', ' inbound', ' customer care', ' call center', ' voice process', ' outbound', ' uk', ' uk shift']",['Voice'],['Hyderabad'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
412, Content Writer, Not Disclosed by Recruiter ,"[' Content management', ' Management systems', ' Customer satisfaction', ' development', ' Architecture', ' level', ' HR', ' Research', ' Web content', ' quality', ' Web technologies', ' web', ' Journalism']",['Programming & Design'],['Gurgaon'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Software Developer
413, Bulk Hiring for Oriya/malayalam Customer Care Executive- Gurgaon," 1,50,000 - 2,50,000 PA. ","[' customer handling', ' customer care', ' cce', ' csa', ' customer service', ' customer care executive', ' customer support', ' customer calling', ' voice process', ' bcom', ' call center', ' bpo', ' Ba']",['Voice'],['Gurgaon'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['Strategy', ' Management Consulting Firms']",Telecalling/Telemarketing Executive
414, Hiring for Data Entry, Not Disclosed by Recruiter ,"[' Data Entry', ' typing', ' computer operator', ' back office']",['Voice'],"['Chandigarh', 'Mohali']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
415, Openings For Office Assistant with day Shift Call up Sheela," 1,25,000 - 2,00,000 PA. ",[' Office Assistance'],['Voice'],['Bengaluru'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
416, Customer Care Executive For Airline Process In Viman Nagar Pune Jobs i," 1,50,000 - 1,75,000 PA. ","[' Inbound Process', ' English', ' Communication Skills', ' Email Support', ' Airline Process', ' Customer Service', ' voice process', ' Customer Care', ' Hindi']",['Other'],['Pune'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Fresher
417, US Technical Support - International Voice Process, Not Disclosed by Recruiter ,"[' Outbound', ' Technical support', ' Night shift', ' English', ' International voice process', ' Inbound calls', ' Service', ' US shift', ' Business Executive', ' Comp']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
418, Trainee Translator Hindi-English, Not Disclosed by Recruiter ,"[' English', ' Publishing', ' XML', ' MySQL', ' Tools', ' PHP', ' VB', ' MS Office', ' SQL', ' Android']",['Programming & Design'],['Pune'],['IT Software - Other'],"['BPO', ' Call Centre', ' ITeS']",Software Developer
419, Analyst - Treasury Services - Centralised Research Group, Not Disclosed by Recruiter ,"[' technology', ' finance', ' operations', ' human resources']","['Finance', 'Audit']","['Mumbai', 'Mumbai']","['Accounts ', ' Finance ', ' Tax ', ' Company Secretary ', ' Audit']","['Banking', ' Financial Services', ' Broking']",Finance Executive
420, Business Development CLUB Coordinator 5 STAR Hotel, Not Disclosed by Recruiter ,"[' ground staff', ' bde', ' air hostess', ' cabin crew', ' aviation', ' travel sales', ' sales', ' marketing', ' holidays', ' receptionist', ' front office', ' hospitality', ' club', ' hotel management', ' gre', ' resort', ' leisure']","['Front Office', 'Customer Care']","['Hyderabad', 'Mumbai', 'Chennai']","['Hotels ', ' Restaurants']","['Travel ', ' Hotels ', ' Restaurants ', ' Airlines ', ' Railways']",Front Office/Guest Relations Executive/Manager
421, Inside Sales Consultant, Not Disclosed by Recruiter ,"[' BPO', ' cold calling', ' IT sales', ' outbound calling', ' cross selling', ' inside sales', ' b2b sales', ' voice process', ' lead generation', ' call centres', ' telesales', ' Corporate Sales']",['Other'],['Bengaluru'],"['IT Software - ERP ', ' CRM']","['IT-Software', ' Software Services']",Trainee
422, SM - Business Coordination, Not Disclosed by Recruiter ,"[' MIS reporting', ' Financial analysis', ' Data collection', ' Accounting', ' Corporate', ' Account management', ' Management']","['Corporate Planning', 'Consulting', 'Strategy']",['Mumbai'],"['Strategy ', ' Management Consulting ', ' Corporate Planning']","['Education', ' Teaching', ' Training']",Corporate Planning/Strategy Manager
423, Chartered Accountant, Not Disclosed by Recruiter ,"[' Construction', ' Costing', ' MIS', ' Infrastructure', ' Tax audit']",['Accounts'],['Noida'],"['Accounts ', ' Finance ', ' Tax ', ' Company Secretary ', ' Audit']","['Recruitment', ' Staffing']",Chartered Accountant
424, Opp in International Inbound Voice, Not Disclosed by Recruiter ,"[' Outbound', ' Antivirus', ' Technical support', ' process', ' Sales', ' Spot', ' Inbound calls', ' US shift', ' life', ' Comp']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
425, Walk-in Interview for Telesale - 2 July," 1,25,000 - 1,50,000 PA. ","[' cca', ' telecaller', ' cce', ' tele sales executive', ' tme', ' cco', ' Outbound', ' General Insurance', ' customer care officer', ' telesales', ' tele marketing executive', ' telemarketing', ' customer support officer']",['Retail Sales'],['Pune'],"['Sales ', ' Retail ', ' Business Development']",['Insurance'],Sales Executive/Officer
426, Fixed salary on time at Adeeba Group !! UK/US Inbound Tech Support, Not Disclosed by Recruiter ,"[' Outbound', ' Group', ' process', ' Sales', ' Inbound calls', ' US shift', ' Antivirus', ' Medical', ' Technical support', ' Comp']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
427," Home Based Data Entry,sms Sending, Copy Paste Online Work from Home"," 2,00,000 - 5,00,000 PA. ","[' Word', ' Typing', ' freshers', ' part time', ' data entry']",['Other'],"['Delhi ncr', 'Mumbai', 'Bengaluru']","['Executive Assistant ', ' Front Office ', ' Data Entry']","['Recruitment', ' Staffing']",Fresher
428, Hiring CCE a LEADING INTERNATIONAL ITES COMPANY at SALT LAKE, Not Disclosed by Recruiter ,"[' Outbound', ' ITES', ' Technical support', ' Productivity', ' process', ' Support', ' Inbound calls', ' employee referral', ' US shift']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
429, MEGA Hiring For 2019 Req Executives For Back Office|data Entry Process," 1,50,000 - 3,75,000 PA. ","[' BPO', ' Domestic BPO', ' International BPO', ' Call Center', ' voice process', ' Non Voice Process', ' Back Office', ' backend', ' Data Entry Operator', ' Inbound Process', ' Marketing', ' Technical Support', ' customer support']",['Other'],['Pune'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Fresher
