,Job Title,Job Salary,Key Skills,Role Category,Location,Functional Area,Industry,Role
18, Field Sales Executive, Not Disclosed by Recruiter ,"[' Escalation management', ' Field Sales Executive', ' Sales achievement', ' Training', ' Insurance sales']",['Retail Sales'],['Ghaziabad'],"['Sales ', ' Retail ', ' Business Development']","['Real Estate', ' Property']",Sales Executive/Officer
19, Digital / Web Artist, Not Disclosed by Recruiter ,"[' layout', ' visualization', ' digital media', ' graphic design', ' html', ' illustration', ' tools', ' part time']",['Creative'],"['Mumbai', 'Mumbai']","['Design ', ' Creative ', ' User Experience']","['Advertising', ' PR', ' MR', ' Event Management']",Graphic Designer
20, Inbound Phone Banking Voice Process - Leading Bank - Noida," 2,00,000 - 2,50,000 PA. ","[' customer service', ' customer care', ' team', ' communication', ' bpo', ' call center', ' inbound', ' voice', ' backend', ' non voice', ' telecalling', ' cse', ' cro', ' cce', ' data entry', ' back office', ' voice process', ' domestic bpo', ' fresher', ' trainee', ' Telemarketing', ' Outbound', ' sales', ' hardware', ' networking']",['Voice'],['Noida'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['Fresher', ' Trainee', ' Entry Level']",Associate/Senior Associate -(NonTechnical)
21, Associate Clinical Data Processor, Not Disclosed by Recruiter ,"[' MS Office', ' Data entry']",['Voice'],['Mumbai'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['Strategy', ' Management Consulting Firms']",Associate/Senior Associate -(NonTechnical)
22, Customer Support Executive, Not Disclosed by Recruiter ,"[' Customer Support Executive', ' Customer service', ' Business Executive', ' process']",['Voice'],['Chandigarh'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(NonTechnical)
23," Technician, Technical Support", Not Disclosed by Recruiter ,"[' International Call Center', ' Technical Support', ' Maintenance', ' Communication Skills', ' PC Hardware', ' Technician Activities', ' Social Media', ' Analytical Ability', ' Soft Skills', ' Customer Satisfaction']","['Admin', 'Maintenance', 'Security', 'Datawarehousing']",['Gurgaon'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Technical Support Engineer
24, International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc," 2,00,000 - 4,50,000 PA. ","[' Bpo Voice', ' Voice Process', ' International BPO']",['Voice'],"['Mumbai', 'Mumbai suburbs', 'Navi mumbai', 'Thane', 'Vasai']","['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['BPO', ' Call Centre', ' ITeS']",Associate/Senior Associate -(NonTechnical)
25, HR Recruiter," 50,000 - 1,00,000 PA. ","[' Recruitment', ' Hiring', ' HR', ' Screening', ' Interviewing', ' Staffing']",['Other'],['Navi mumbai'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Fresher
26, Python Developer, Not Disclosed by Recruiter ,"[' Debugging', ' Troubleshooting', ' Python', ' Interpersonal skills', ' OOPS', ' Programming', ' developer']",['Programming & Design'],['Gurgaon'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Software Developer
27, Inbound Technical Support With Attractive Salary Package, Not Disclosed by Recruiter ,"[' Outbound', ' Medical', ' Technical support', ' Technical Support Associate', ' Email', ' Sales', ' US shift', ' Antivirus', ' Troubleshooting', ' Comp']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
28," Placement Officer,"," 1,75,000 - 2,75,000 PA. ","[' HR', ' Human Resource Management', ' Placement Coordination', ' recruitment executive', ' recruitment officer']",['Other'],['Pune'],"['HR ', ' Recruitment ', ' Administration ', ' IR']","['Recruitment', ' Staffing']",Outside Consultant
29, Senior TSA Inbound Tech Process, Not Disclosed by Recruiter ,"[' Outbound', ' Technical Support Associate', ' Sales process', ' process', ' Senior', ' Technical', ' US shift', ' Technical support', ' International BPO']",['Voice'],['Kolkata'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['IT-Software', ' Software Services']",Associate/Senior Associate -(Technical)
30, Telle Caller, Not Disclosed by Recruiter ,"[' good communication skill', ' good speeking manners', ' ability to face strangers', ' punctual', ' gopod efficiency']",['Voice'],['Delhi'],"['ITES ', ' BPO ', ' KPO ', ' LPO ', ' Customer Service ', ' Operations']","['Recruitment', ' Staffing']",Telecalling/Telemarketing Executive
31," Opening For Dot Net Developer @ Baner, Pune", Not Disclosed by Recruiter ,"[' C#', ' .Net', ' Asp.net']",['Other'],['Pune'],"['IT Software - Application Programming ', ' Maintenance']","['IT-Software', ' Software Services']",Fresher
